Gene,Count
NM_001367633,3
NM_001367701,3
NM_001367674,3
NM_001367689,3
NM_001367651,3
NM_001367672,3
NM_001367658,3
NM_001367691,3
NM_001367660,3
NM_001367704,3
NM_001367638,3
NM_001367673,3
NM_001367684,3
NM_001367653,3
NM_001367635,3
NM_001130965,3
NM_001367708,3
NM_015155,6
NM_001142675,3
NM_001142676,3
NM_001142674,3
NM_023947,3
NM_001142677,3
NM_014823,9
NM_018979,9
NM_001184985,9
NM_213655,9
NR_024559,7
NM_138774,3
NM_032129,1
NM_001160184,1
NM_001367552,1
NM_001352017,7
NM_001352019,7
NM_001352018,7
NM_001352020,7
NR_147885,7
NM_022773,7
NM_001352021,7
NM_001322841,8
NM_001159746,7
NM_021962,7
NM_001322840,7
NM_001092,7
NM_001282149,4
NM_001256847,3
NM_001099733,1
NM_001117,1
NM_015949,2
NM_032551,1
NM_018968,15
NM_001347,1
NM_001284308,4
NM_006869,4
NM_001284309,1
NM_001284310,1
NM_001284311,1
NM_001242837,4
NR_144509,4
NR_144510,4
NM_012305,4
NM_001256299,10
NM_001303016,10
NM_001303020,7
NM_001145147,7
NM_004382,7
NM_001145148,7
NM_001145146,7
NM_001303018,7
NM_005224,1
NM_001029871,1
NM_001040007,1
NM_198576,2
NM_001305275,2
NM_001364727,2
NR_110313,3
NM_000203,3
NR_104615,3
NR_104614,3
NR_027116,3
NR_027115,3
NM_021240,3
NM_001372086,3
NM_001372085,3
NM_024100,3
NM_018950,3
NM_001371649,1
NM_001130045,1
NR_134676,1
NR_033768,1
NM_021903,1
NM_001098478,1
NM_001098479,1
NM_032350,1
NM_001134395,1
NM_001134396,1
NM_001350968,1
NM_001318252,1
NM_014023,1
NM_178039,19
NR_027946,19
NM_178040,19
NR_027949,19
NR_027948,19
NM_014963,1
NM_001100122,1
NM_178578,1
NM_001323407,1
NM_001323409,1
NM_006814,1
NM_001323410,1
NM_001323408,1
NM_030649,1
NM_001349361,12
NM_001349350,12
NM_001349359,12
NM_014461,12
NM_001289080,12
NM_001349356,12
NM_001349360,12
NM_001349352,12
NM_001349353,12
NM_001289081,12
NM_001349362,12
NM_001349354,12
NM_001349351,12
NM_001349357,12
NM_001349358,12
NM_001349355,12
NM_001377189,1
NM_001377192,1
NM_001377193,1
NM_001377190,1
NM_001377186,1
NM_001328,1
NM_001012614,1
NM_001377187,1
NM_001377188,1
NM_001377191,1
NM_182632,1
NR_026751,32
NR_145416,23
NR_026972,1
NR_026973,1
NM_001242758,6
NM_002116,6
NM_018702,21
NM_001301248,18
NM_021098,3
NM_001005407,3
NM_152769,1
NM_001384356,1
NM_001136566,1
NM_001384355,1
NM_001384357,1
NM_001384358,1
NM_001256462,1
NM_001256456,1
NM_001256460,1
NM_017871,1
NM_001256463,1
NM_001193376,5
NR_149162,5
NR_149163,5
NM_198253,5
NM_002458,5
NM_006761,5
NR_024058,5
NM_177401,1
NM_014723,5
NM_001318234,5
NM_001029885,1
NM_001330311,3
NM_004421,3
NR_024240,2
NR_028032,1
NM_001080461,3
NM_012467,1
NR_023927,7
NR_023926,7
NR_023925,7
NR_110327,7
NM_001280,1
NR_023312,1
NR_023313,1
NM_001300815,1
NM_001300829,1
NM_001012288,3
NM_022148,3
NR_110830,3
NM_021959,3
NR_132323,2
NR_002139,2
NM_017914,2
NM_005882,3
NM_001017405,3
NR_123716,3
NM_001297430,3
NM_001297431,3
NM_001297432,3
NM_001297433,3
NM_001318514,3
NM_001318516,3
NM_019009,3
NM_001318512,3
NM_001318515,3
NM_012217,2
NR_040048,4
NR_040047,4
NR_040049,4
NR_037661,4
NM_080489,2
NM_033260,1
NM_001384280,1
NM_002127,1
NM_001363567,1
NM_001384290,1
NM_001317934,2
NM_020894,2
NM_001317935,2
NM_030782,1
NM_005206,1
NM_016823,1
NM_001379163,3
NM_001379159,3
NM_001379162,3
NM_001379161,3
NM_001379164,3
NM_001379165,3
NM_001379167,3
NM_001161532,3
NM_001379160,3
NM_001379158,3
NM_001379168,3
NM_001379154,3
NM_001379156,3
NM_172246,3
NM_001161529,3
NM_001161530,3
NM_172249,3
NM_172247,3
NR_027760,3
NM_001379166,3
NM_006140,3
NM_001379169,3
NM_001379153,3
NM_172245,3
NM_001379155,2
NM_001161531,2
NM_199121,1
NM_022834,1
NR_125810,1
NM_033229,2
NR_126470,3
NM_007028,4
NR_134871,4
NR_134870,4
NM_001080779,1
NM_033375,1
NM_001080950,1
NM_001363855,1
NM_001382408,1
NM_001369794,1
NR_168277,1
NR_168278,1
NM_001369793,1
NM_001369789,1
NM_001369790,1
NM_001382409,1
NM_032853,1
NR_024247,1
NM_001369792,1
NM_001039211,1
NM_001044,1
NM_001242783,5
NM_003449,5
NM_001286633,3
NM_138700,3
NM_001001410,1
NM_001135642,1
NM_016532,1
NM_130766,1
NM_014188,1
NM_001206745,4
NM_000547,4
NM_175719,4
NM_001206744,4
NM_175722,4
NM_175721,4
NM_024830,1
NR_052012,23
NM_182924,1
NM_001143980,1
NM_001284499,1
NM_152346,3
NM_001321364,3
NM_001321365,3
NM_001284498,3
NM_014834,1
NM_001006607,2
NM_016632,3
NM_001288813,2
NM_001288811,2
NM_001363805,2
NM_017573,1
NM_001267713,1
NM_002183,1
NM_001173473,4
NM_004192,4
NM_001173474,4
NM_001080453,3
NR_103863,3
NR_033799,7
NM_001243079,2
NM_178460,2
NR_026711,2
NR_026710,2
NM_170783,1
NR_103864,1
NM_014596,1
NM_001278786,1
NM_001278785,1
NM_001351846,1
NM_016111,1
NR_102409,1
NM_145350,1
NM_003693,1
NR_028075,1
NM_006065,3
NM_178129,5
NM_033489,2
NM_001291345,2
NM_001787,2
NM_033487,2
NM_033486,2
NM_033490,2
NR_003263,2
NR_102326,5
NR_024052,5
NR_102327,5
NR_024053,5
NM_021253,5
NM_001369522,5
NM_001369521,5
NM_001369523,5
NM_172016,5
NM_001199119,4
NM_001097620,2
NR_033387,2
NR_152792,2
NM_004420,2
NM_001256541,2
NM_024600,2
NM_014714,2
NM_001281454,2
NM_001281453,2
NM_001083910,2
NM_001135844,2
NM_001329157,2
NM_001353641,2
NM_001198994,2
NM_001198993,2
NM_023018,2
NM_001353642,2
NM_012293,3
NM_001306074,3
NM_006527,3
NM_001306075,3
NM_001253846,24
NM_001500,29
NM_152441,1
NM_020825,3
NM_052928,3
NR_164369,1
NM_004043,2
NM_001171038,2
NM_001171039,2
NR_026642,1
NM_018941,1
NR_027383,1
NM_005088,1
NM_001282539,1
NM_001282538,1
NM_002074,1
NM_001329849,31
NM_015025,31
NM_001329851,31
NM_001303052,31
NM_001329844,31
NM_001329847,31
NM_001329852,31
NM_001329846,31
NM_001329848,31
NM_001329845,31
NM_012318,6
NM_005275,11
NR_149088,1
NM_014629,9
NM_001308153,9
NM_001308152,9
NM_001375364,7
NM_024551,7
NM_001375365,7
NM_001375363,7
NM_001318852,1
NM_001040439,1
NM_015133,1
NM_020695,3
NM_001199121,1
NM_001199120,1
NM_024839,1
NM_080861,1
NM_001324081,1
NM_001304360,10
NM_178568,10
NM_031918,3
NR_104602,1
NM_001304524,24
NM_001304523,24
NM_001013837,24
NM_001013836,24
NM_003550,24
NM_001304525,9
NM_001290334,1
NM_138567,1
NM_001290332,1
NM_001290333,1
NM_001042424,8
NM_001376195,6
NR_072994,6
NM_002714,6
NM_001077497,5
NM_025263,5
NR_164780,1
NR_164781,1
NM_001090,3
NM_001025091,3
NM_002339,7
NM_005326,1
NM_001363912,1
NM_001286249,1
NM_001363914,1
NM_001040427,1
NM_001330728,7
NM_001040022,7
NM_080792,7
NM_001040023,7
NM_133335,7
NM_133331,7
NM_133330,7
NM_007331,6
NR_109912,2
NR_033823,6
NM_001031722,6
NM_024909,6
NM_001318763,6
NM_001190724,6
NM_001318762,6
NM_001254952,6
NM_001242932,6
NM_001013253,6
NM_001289005,6
NM_001013254,6
NM_001013255,6
NM_152764,6
NM_001163560,6
NM_133334,4
NM_001161376,8
NM_145029,8
NM_001109938,8
NM_172364,6
NM_001329539,4
NM_001329540,4
NM_079834,4
NM_001329533,4
NM_138422,4
NM_014641,7
NM_001363515,3
NM_001164239,3
NM_003587,3
NM_014046,1
NM_021134,1
NM_001256828,3
NM_001282326,2
NM_017575,9
NM_001256827,6
NM_001319,1
NR_134520,2
NM_002744,2
NR_133647,4
NM_001293214,2
NM_001293213,2
NM_178014,2
NR_120608,2
NM_001293212,2
NM_001293216,2
NM_001293215,2
NM_001033581,1
NR_146911,1
NM_001350806,1
NM_001350803,1
NM_001350804,1
NM_001350805,1
NM_001242874,1
NM_001033582,1
NM_181808,11
NR_134610,5
NM_001318484,23
NM_001322469,23
NM_001198815,23
NR_138037,4
NM_139045,7
NM_001289397,7
NM_003070,7
NM_001289396,7
NR_135060,1
NM_152640,1
NM_001319292,1
NM_001077183,1
NM_001318827,1
NM_001318829,1
NM_001318831,1
NM_001363528,1
NM_001114382,1
NM_001370405,1
NM_001370404,1
NM_000548,1
NM_021055,1
NM_001318832,1
NM_001261826,1
NM_001374799,1
NM_003938,1
NM_080836,1
NM_145177,35
NM_003036,10
NM_001350095,38
NM_175607,38
NR_046555,6
NM_001134870,3
NM_133471,3
NM_001297652,6
NM_001954,6
NM_001297654,6
NM_001297653,6
NM_013993,6
NM_001202523,6
NM_013994,4
NM_001202522,4
NM_001202521,4
NM_001289398,6
NM_001289399,6
NM_001289400,6
NM_001007139,4
NR_003512,6
NM_001291862,2
NM_001127598,2
NM_000612,1
NM_000296,6
NM_001009944,6
NR_028043,2
NR_133657,2
NM_001129830,29
NM_001167623,29
NM_001129827,29
NM_000719,29
NM_001129840,29
NM_001129843,29
NM_001129838,29
NM_001129844,29
NM_001129836,29
NM_001129837,29
NM_001129835,29
NM_001129831,29
NM_001129832,29
NM_001129839,29
NM_001129833,29
NM_001167625,29
NM_001129842,29
NM_001129829,29
NM_001129834,29
NM_001129846,29
NM_001129841,29
NM_007243,2
NM_001384369,1
NR_073065,1
NM_001270708,1
NM_001270710,1
NR_073066,1
NM_001270707,1
NM_001270709,1
NR_073072,1
NM_001517,3
NM_001042376,3
NM_001167624,28
NM_199460,28
NM_032482,5
NM_001167733,6
NM_020442,6
NM_001167734,6
NM_001185098,1
NM_001185097,1
NM_000207,1
NM_001291897,1
NM_001318875,2
NM_005803,2
NM_032271,2
NM_001304803,2
NM_021947,2
NM_024511,2
NM_001303143,2
NM_020764,2
NM_018128,2
NM_001300836,1
NM_018049,1
NR_046229,7
NM_001322371,4
NM_001322370,4
NR_130720,4
NM_001010909,4
NM_205854,2
NM_014853,4
NM_001346700,4
NM_001098509,4
NM_007165,2
NM_024848,3
NM_006454,1
NM_001199174,1
NR_147904,1
NM_001199175,1
NR_147906,1
NR_147905,1
NR_147907,1
NM_001352059,1
NM_001352060,1
NM_001352057,1
NM_001199173,1
NM_022372,1
NM_020972,5
NM_001172656,5
NM_001172659,3
NM_013393,1
NM_001288776,1
NM_001288778,1
NM_004424,1
NM_198532,1
NM_001301060,1
NR_125361,1
NM_001206955,24
NR_104616,1
NR_130726,3
NM_013321,1
NM_006711,1
NM_001286625,1
NM_080594,1
NM_001286626,1
NM_001286627,1
NR_104485,1
NM_001101391,1
NM_003245,1
NM_001172658,3
NM_001172660,1
NM_001172657,3
NR_145427,2
NM_001348249,2
NR_003948,2
NR_108080,1
NM_001089,1
NM_024086,2
NM_001171135,2
NM_001171136,3
NM_004729,3
NM_001303012,2
NM_014638,2
NM_001303013,2
NM_019052,4
NM_001105564,4
NM_001105563,4
NM_001362793,2
NM_001362792,2
NM_003751,2
NM_001362791,2
NM_001037283,2
NR_125425,11
NM_001297649,1
NM_004356,1
NR_003574,2
NM_182973,2
NM_001385642,2
NM_198994,1
NM_001254734,1
NM_001185010,1
NM_002938,1
NM_001185009,1
NM_001289160,28
NM_002701,1
NM_001285987,1
NM_203289,1
NM_001173531,1
NM_001285986,1
NR_136146,4
NM_000218,16
NM_181798,16
NR_135198,1
NM_000430,9
NM_052847,9
NR_033380,4
NM_033467,3
NR_152828,4
NR_152830,4
NR_152831,4
NR_152832,4
NR_152833,4
NR_152834,4
NR_152829,4
NR_152835,4
NR_152836,4
NR_152837,4
NR_152838,4
NR_026816,4
NR_152839,4
NM_001199107,3
NM_020705,3
NM_080751,8
NM_001243042,8
NM_002117,8
NR_033381,2
NR_037842,2
NM_001366316,5
NM_001366318,5
NM_001040168,1
NR_125426,5
NR_015375,5
NM_001198569,1
NM_001694,1
NM_022840,1
NM_001308401,1
NM_001122898,5
NM_002414,5
NR_135623,5
NM_001321369,5
NM_001321370,5
NM_001321368,5
NM_001321367,5
NM_001242672,4
NR_146879,4
NM_001350626,4
NM_152743,4
NM_001350627,4
NR_168441,11
NR_168444,11
NR_168445,11
NR_168442,11
NR_168443,11
NM_006101,4
NM_001347872,1
NM_001012418,1
NR_149132,3
NM_005931,7
NM_001289161,7
NM_001384742,1
NM_133463,1
NM_001321766,4
NM_001384740,1
NM_001384741,1
NM_001284355,1
NM_001384739,1
NM_001384743,1
NM_018992,1
NM_001330058,7
NM_015085,7
NM_001100398,7
NM_015295,4
NR_037853,7
NM_004640,5
NR_037852,5
NM_080598,5
NM_001293092,6
NM_007353,6
NM_001282441,6
NM_001282440,3
NM_033225,80
NR_045725,3
NR_027275,3
NR_027274,2
NM_003249,4
NM_001184702,3
NM_001184703,3
NM_001184704,3
NM_003918,3
NM_001079855,3
NM_001122681,3
NM_001318207,1
NM_001011700,1
NR_040662,1
NM_001144963,4
NM_001144962,4
NM_001144961,3
NM_005007,3
NM_014878,2
NM_016333,1
NM_001369706,2
NM_001369703,2
NM_001369707,2
NM_001369709,2
NM_001369710,2
NM_001369704,2
NM_001369702,2
NM_001369705,2
NM_001145275,2
NM_001145276,2
NM_003411,2
NM_001369708,2
NM_001145855,1
NM_001145856,1
NM_003023,1
NR_149045,2
NM_007108,1
NM_207013,1
NM_001102651,1
NM_080413,1
NM_022575,1
NM_001669,1
NM_001354756,1
NM_001354759,1
NM_014190,1
NM_001354762,1
NM_001119,1
NM_001354761,1
NM_001354757,1
NM_001354754,1
NM_014189,1
NM_176801,1
NM_001286645,1
NM_001354758,1
NM_001354755,1
NR_146317,1
NM_001354586,1
NM_032048,1
NM_001172775,1
NM_152791,1
NM_002836,2
NM_001385305,2
NM_001385321,2
NM_001385320,2
NM_001385304,2
NM_001385303,2
NM_001385302,2
NM_001385310,2
NM_001385312,2
NM_001385319,2
NM_001385306,2
NM_001385313,2
NM_001385307,2
NM_001385318,2
NM_080840,2
NM_001385317,2
NM_001385316,2
NM_001385315,2
NM_080841,2
NM_001385314,2
NM_001385311,2
NM_001385308,2
NM_000047,1
NM_001282628,1
NM_001369079,1
NM_001369080,1
NM_001282631,1
NR_144458,1
NR_110228,4
NM_001206956,4
NM_175613,4
NM_001004056,4
NM_001004057,4
NM_182982,4
NM_005307,4
NM_001350173,4
NM_001297700,1
NM_001271824,1
NM_001271822,1
NM_004568,1
NR_164657,1
NM_001195291,1
NM_001374515,1
NM_001297699,1
NM_001271823,1
NM_001374517,1
NM_001374516,1
NM_001353334,8
NM_021246,1
NM_021184,1
NM_080686,1
NM_004638,1
NM_001003693,2
NM_001324281,4
NM_032415,4
NM_001369382,1
NM_001369377,1
NM_001369376,1
NM_001369380,1
NM_001369383,1
NM_001369381,1
NM_001369375,1
NM_005969,1
NM_001369384,1
NM_001369378,1
NM_001369385,1
NM_001369386,1
NM_001369379,1
NM_001369388,1
NM_001243089,1
NM_021953,1
NM_202002,1
NM_202003,1
NM_001243088,1
NM_001308068,1
NM_032296,1
NM_020912,1
NM_014646,1
NM_001375808,1
NM_001375809,1
NM_001201538,2
NM_001201539,2
NR_046502,1
NM_199454,12
NM_022114,12
NR_152848,1
NM_025258,1
NR_024541,5
NR_003673,3
NM_025262,1
NM_138277,3
NM_138275,3
NM_138273,3
NM_138274,3
NM_025260,3
NM_138272,3
NR_165430,3
NR_036542,3
NM_001378137,3
NM_001014437,3
NM_139273,3
NR_165428,3
NM_001751,3
NM_001378138,3
NM_001194997,3
NR_165429,3
NM_001378136,3
NM_001378139,3
NM_001378140,3
NM_003324,3
NM_001160408,3
NM_004203,1
NM_182687,1
NM_001258450,1
NM_001258451,1
NM_001144761,3
NM_001144762,1
NM_001300846,1
NM_003260,1
NM_001501,1
NM_178331,1
NM_001310220,1
NM_178332,1
NM_004042,1
NM_006295,3
NM_021160,5
NR_033489,5
NM_001177515,4
NR_033488,4
NM_001287593,1
NM_000564,1
NM_001243099,1
NM_175726,1
NM_175725,1
NM_175728,1
NM_175724,1
NM_175727,1
NM_002111,6
NM_001302777,1
NR_026649,1
NR_026648,1
NM_004332,1
NM_001178044,3
NM_025257,3
NM_001178045,3
NM_006709,10
NM_025256,10
NM_001289413,9
NM_001363689,9
NM_001318833,9
NM_021177,1
NM_001323068,1
NM_001323071,1
NM_002627,1
NM_001323069,1
NM_001323067,1
NM_001242339,1
NM_001323072,1
NM_001345944,1
NM_001323073,1
NM_001323070,1
NM_001323074,1
NM_001144063,3
NM_020896,3
NM_145638,3
NM_003213,1
NM_201441,1
NM_201443,1
NM_001282415,1
NM_032805,1
NM_001282416,1
NM_001365273,1
NM_001365272,1
NM_003803,6
NM_019856,6
NM_002068,1
NR_110670,1
NM_001367609,1
NM_001365618,1
NM_001282533,1
NR_159934,5
NR_159935,5
NR_159937,5
NM_001367321,5
NR_159936,5
NM_001367323,5
NM_001302946,5
NR_159941,5
NR_159938,5
NM_001367322,5
NM_182916,5
NR_159940,5
NR_159939,5
NR_104617,2
NM_001282457,20
NM_001178063,20
NM_001242307,5
NM_001347729,5
NM_001347730,5
NM_001242309,5
NR_144638,5
NR_144641,5
NM_014889,5
NR_144640,5
NR_144639,5
NM_001347725,5
NM_001347728,5
NM_001347726,5
NM_001347727,5
NR_110900,2
NM_003775,1
NM_023935,2
NR_126024,4
NR_038296,3
NR_038295,3
NM_001145903,8
NM_001282458,8
NM_000063,8
NR_104191,4
NM_001282459,4
NR_121585,3
NR_038284,3
NM_001168320,10
NM_006675,10
NR_104432,3
NM_001134655,3
NM_004220,3
NM_001321463,3
NM_020170,3
NR_052000,3
NM_001324237,3
NM_001324238,3
NM_001330531,4
NM_001330530,4
NM_003310,4
NM_001135750,1
NM_001128591,1
NM_001128592,1
NM_032470,5
NM_006929,2
NM_001377999,18
NM_001282116,18
NM_134428,18
NM_002919,18
NR_002169,1
NM_033546,1
NM_001144944,1
NM_001144945,1
NM_021938,1
NM_001172673,1
NR_033342,1
NM_001009984,5
NM_198229,8
NM_002926,8
NR_168069,11
NM_015482,11
NR_104448,9
NM_021945,9
NM_001286455,9
NM_001382317,11
NM_001286456,11
NM_001382320,11
NM_019105,22
NM_001365276,22
NM_000500,2
NM_001368143,2
NM_001128590,2
NM_001368144,2
NM_001282117,12
NM_005741,2
NR_001284,3
NM_152744,47
NM_001352497,1
NM_001352495,1
NM_153028,1
NM_001324085,1
NM_001352498,1
NM_001302109,1
NM_001324041,1
NM_001321336,6
NM_001321337,6
NM_001170696,1
NM_001170695,1
NM_001170697,1
NM_001170699,1
NM_032598,1
NM_001170698,1
NM_014448,3
NM_001321102,9
NM_016030,9
NM_198227,5
NM_138717,6
NR_037861,10
NM_005155,6
NM_001204103,6
NR_131187,32
NM_001256825,4
NR_040083,4
NM_001130520,4
NM_001242842,4
NM_001256823,4
NM_001242841,4
NM_001242843,4
NM_007152,4
NM_001130519,4
NM_001256824,4
NR_046381,4
NR_046382,4
NM_001128085,4
NM_000049,5
NM_205843,9
NM_001245005,9
NM_001245002,9
NM_005597,9
NM_001245004,9
NM_030652,4
NR_037860,4
NM_001363780,5
NM_032741,3
NM_001371438,3
NM_001371437,3
NM_006411,2
NM_001371439,2
NM_001409,11
NR_024248,1
NM_001297439,3
NM_001528,3
NR_033898,10
NR_134949,15
NR_134950,15
NM_004557,15
NR_148995,4
NM_001284528,3
NM_001324340,3
NM_001324344,3
NM_001324343,3
NM_001284529,3
NM_001284527,3
NM_001324346,3
NM_001324345,3
NM_001324341,3
NM_001324342,3
NM_017810,3
NM_001258205,3
NM_145068,3
NM_174886,3
NM_001278686,3
NR_026717,2
NM_005510,2
NM_001371205,2
NM_001371206,2
NM_173207,2
NM_001374396,2
NM_001301071,2
NM_001363811,2
NM_001164673,2
NM_173660,2
NR_147844,1
NM_002586,3
NM_001242823,1
NM_001352000,1
NM_001002029,1
NM_007293,1
NM_001252204,1
NM_004381,2
NM_001136153,2
NR_110428,1
NR_110429,1
NM_139321,12
NM_001323332,10
NM_139322,9
NM_001207047,9
NM_001256896,1
NM_030651,3
NR_136245,68
NR_136244,55
NR_136246,48
NM_006913,2
NR_155743,6
NR_169525,1
NM_001256536,15
NM_001317093,6
NM_001083601,6
NM_080704,3
NM_018727,1
NM_080705,1
NM_080706,1
NM_001145165,1
NM_031304,1
NM_018269,3
NM_001306077,3
NR_110005,5
NM_002337,5
NM_022107,2
NM_001276501,2
NM_004746,42
NM_001242763,24
NM_001242762,24
NM_001242764,24
NM_001308390,24
NM_001242766,24
NM_001003809,24
NM_001242761,42
NM_001242765,24
NM_016263,5
NM_001317095,3
NM_001317096,3
NM_001317094,3
NM_001317098,3
NM_024845,3
NM_001083600,3
NM_001317097,3
NM_013276,3
NM_001286474,37
NM_001286475,37
NM_006781,37
NM_001136198,2
NM_001136197,2
NM_005044,7
NM_001204186,9
NM_001204185,9
NM_001204184,9
NM_005427,9
NM_001204187,9
NM_001204188,9
NR_148532,3
NR_148534,3
NR_040045,2
NR_126335,2
NM_001330454,2
NM_015041,2
NM_024793,2
NR_037928,2
NM_175080,2
NM_002561,2
NM_001204519,2
NM_001204520,2
NM_133261,2
NM_001286837,1
NM_001378272,1
NM_001378271,1
NR_165465,1
NM_001378273,1
NR_165468,1
NM_001286834,1
NR_148533,1
NR_165466,1
NM_002936,1
NR_165467,1
NM_019854,7
NM_178844,2
NR_075083,2
NR_119377,1
NM_001060,1
NM_201636,1
NM_001204190,6
NM_001204189,6
NM_001204191,6
NM_001126242,6
NM_001126241,6
NM_001126240,6
NM_001204192,6
NM_001011,1
NM_001304561,10
NM_002208,6
NM_021231,1
NM_001080543,1
NM_031965,1
NR_044996,2
NM_032444,4
NM_012398,4
NM_001195733,4
NM_001300849,4
NM_001255983,2
NM_001255982,2
NM_001255984,2
NM_199235,2
NM_024027,2
NR_045659,2
NM_145762,1
NM_022139,1
NM_001255985,1
NR_002720,1
NM_153202,1
NM_001282447,1
NM_025220,1
NM_014704,6
NM_018436,3
NR_149025,10
NM_183373,5
NM_002124,9
NM_001365126,8
NR_157591,8
NR_157589,8
NM_001365125,8
NM_001365129,8
NM_016320,8
NM_139132,8
NM_001365127,8
NM_001365128,8
NR_157590,8
NM_139131,8
NM_005387,8
NM_001144958,10
NM_016292,5
NM_001272049,5
NM_001114118,2
NM_001267560,5
NM_001267561,5
NR_031672,21
NR_047675,2
NM_001039140,2
NM_001258429,2
NM_001258430,2
NR_034031,5
NM_019111,5
NM_001287444,5
NM_001365580,5
NM_032680,5
NM_032294,3
NM_172206,3
NM_172207,3
NM_001287518,1
NR_136336,1
NM_001287516,1
NM_001287517,1
NR_146580,3
NR_146581,3
NR_146578,5
NM_001282669,2
NM_001320132,2
NR_104222,2
NM_001320136,2
NR_135151,2
NM_004402,2
NR_135150,2
NR_135152,2
NM_001243965,5
NM_004380,4
NM_001079846,4
NM_002378,2
NR_024455,1
NM_001359193,2
NM_001160125,1
NR_027653,1
NM_001300,1
NM_001160124,1
NM_001256235,2
NM_001283040,2
NM_001145438,2
NM_001283038,2
NM_001256236,2
NM_001256237,2
NM_001283039,2
NR_027017,2
NR_104271,2
NM_001346397,2
NM_001346400,2
NR_045927,2
NR_045926,2
NR_045925,2
NR_144427,2
NM_001346402,2
NR_045923,2
NM_001346398,2
